"region","year","e_r","e_f","e_m","e_02","e_34","e_58","f_02","f_34","f_58","m_02","m_34","m_58","gva","lag_gva","laglag_gva","laglaglag_gva","lag_r_15_24","lag_r_25_44","lag_r_45_64","lag_pop_02","lag_pop_58","lag_r_f_m_02","lag_r_f_m_58"
"AT11","2006",69.2,62,76.2,46.4,75.8,86,43.3,70.9,82.3,52.6,79.6,88.3,1.1,3.8,3.8,0.3,0.174541802118996,0.433821861736022,0.391636336144982,23.5,63.7,3.52985074626866,1.87012987012987
"AT11","2007",71.2,64,78.2,48.4,77.5,89.2,45,72,86.8,54.8,82,90.8,3.6,1.1,3.8,3.8,0.17345599317196,0.43025837434299,0.39628563248505,22.8,62.3,3.73170731707317,1.67213114754098
"AT11","2008",71.3,64.2,78.2,48.4,77.3,87.9,45,72.2,82.7,54.9,81.4,91.8,0.9,3.6,1.1,3.8,0.170844824614324,0.426021287598035,0.403133887787641,22.6,64.2,3.45801526717557,1.80368098159509
"AT11","2009",70.8,64.7,76.8,46.7,76.7,87.2,42.4,73.3,82.6,54.4,79.6,90.6,-2,0.9,3.6,1.1,0.167631853855838,0.418685881123939,0.413682265020223,21.1,64.8,3.67826086956522,1.70552147239264
"AT11","2010",71,64.8,77.1,45.8,77.6,86.5,40.8,73.5,84.9,54,81.1,87.7,2.2,-2,0.9,3.6,0.166174247447288,0.410460151173584,0.423365601379127,19.6,65.3,3.51785714285714,1.64367816091954
"AT11","2011",70.3,64.5,76.1,45.9,76.5,84.9,42.2,73.3,81.2,52.7,79.1,87.6,3.4,2.2,-2,0.9,0.163286737273154,0.403317132891119,0.433396129835726,19.7,65.5,3.23770491803279,1.72189349112426
"AT11","2012",70.4,64.8,75.9,43.7,77.5,82.8,42.9,73.7,79.7,45.5,80.5,85.1,1.6,3.4,2.2,-2,0.160331832932063,0.395064377682403,0.444603789385533,19.7,65.5,3.56756756756757,1.64161849710983
"AT11","2013",69.9,64.9,74.8,42.9,76,86,42.3,72.6,81.8,43.9,78.9,89.7,1.6,1.6,3.4,2.2,0.158192296279329,0.387424579231502,0.454383124489169,18.8,67.2,3.88659793814433,1.61392405063291
"AT11","2014",69.8,64.7,75,43.7,73.8,82.6,39.3,70.1,80.2,51,77,85,0.4,1.6,1.6,3.4,0.156963871740773,0.38296996691933,0.460066161339897,18.5,65.6,3.60194174757282,1.59537572254335
"AT11","2015",69.6,64.9,74.3,42.8,72.7,82.1,41.3,69.7,78.8,45.7,75.3,85.1,0.9,0.4,1.6,1.6,0.155724002465756,0.378154026182988,0.466121971351255,16.8,57.5,3.23076923076923,1.39245283018868
"AT11","2016",69.8,65.9,73.7,43.4,72.3,84.9,45.7,68,81.4,39.5,75.8,88.3,1.5,0.9,0.4,1.6,0.154095425561989,0.374797139536588,0.471107434901423,15.3,56.2,3.825,1.26402640264026
"AT11","2017",71.1,66.4,75.8,42.1,73.5,86.4,41.3,67.9,84.8,43.3,78.2,88.2,3.4,1.5,0.9,0.4,0.15337586390218,0.372861744378772,0.473762391719048,16.5,55.7,3.3,1.34965034965035
"AT12","2006",70.1,64,76.3,48.1,75.3,85.6,43.4,70.7,83.1,55.7,79.5,87.6,4.3,4.6,4.6,1,0.177180958199296,0.440781221661146,0.382037820139558,18.6,64.3,2.80451127819549,1.68911917098446
"AT12","2007",71.5,65.3,77.7,50.5,76.5,87,46.8,71.1,84.9,56.4,81.3,88.5,5.3,4.3,4.6,4.6,0.178881176021309,0.437976703944292,0.383142120034398,18.6,66.3,3.29203539823009,1.64204545454545
"AT12","2008",72.5,66.6,78.5,50,77.8,86.6,45.5,72.9,82.6,56.3,82.4,89.6,4,5.3,4.3,4.6,0.179335171947138,0.43305722447878,0.387607603574083,18.9,66.1,3.22222222222222,1.68421052631579
"AT12","2009",71.7,66.7,76.7,47.1,77.2,85,44.3,73.8,80.7,51.6,80.2,88.5,-3.5,4,5.3,4.3,0.178756515898319,0.426960445777319,0.394283038324362,17.1,66.9,2.88983050847458,1.63440860215054
"AT12","2010",72.1,66.9,77.3,46.7,77.5,85.8,43.4,74,79.5,51.4,80.7,90.6,0.6,-3.5,4,5.3,0.179091354947299,0.419259216027005,0.401649429025696,16.2,66.2,3.24,1.50251256281407
"AT12","2011",72.4,67.4,77.5,49.2,77.3,86.5,46.5,73.1,82.6,52.9,81.4,89.4,3.2,0.6,-3.5,4,0.178819475449838,0.411213451103176,0.409967073446986,15.6,66.5,2.97142857142857,1.50480769230769
"AT12","2012",72.6,68.1,77.2,48.3,77.4,88.9,46.9,73.6,85.3,50.2,81,91.7,-0.2,3.2,0.6,-3.5,0.177349656220841,0.401603617113975,0.421046726665183,16.7,66.1,2.85470085470085,1.57920792079208
"AT12","2013",72.4,67.6,77.2,45.8,77.9,86.6,42.1,74.6,84.6,51.6,80.9,88.3,0.5,-0.2,3.2,0.6,0.176341166296252,0.393479453583418,0.430179380120331,16.7,66.1,2.99099099099099,1.55778894472362
"AT12","2014",72.8,68.4,77.4,49.4,74.8,86.5,46,70.9,83.8,54.2,78.4,89.1,1.5,0.5,-0.2,3.2,0.175666179904639,0.387280154349168,0.437053665746193,16,66.4,3.07692307692308,1.53061224489796
"AT12","2015",73.1,69.2,77,49.2,74.5,85.7,46,71,84,53.8,77.8,87.2,1.3,1.5,0.5,-0.2,0.174005935380221,0.381962729084851,0.444031335534928,15.5,55.4,2.86111111111111,1.35409836065574
